Brand,Lat,Lon
SevenEleven,35.685512,139.761483
Lawson,35.681631,139.762479
FamilyMart,35.67741,139.761935
Lawson,35.680634,139.762611
SevenEleven,35.678478,139.761185
Lawson,35.677265,139.761118
Lawson,35.679088,139.762582
Lawson,35.681416,139.763815
SevenEleven,35.683473,139.764081
SevenEleven,35.684312,139.765347
FamilyMart,35.683473,139.765781
FamilyMart,35.6835,139.765947
Lawson,35.680455,139.764827
SevenEleven,35.67929,139.764994
FamilyMart,35.676266,139.763617
FamilyMart,35.67813,139.766543
FamilyMart,35.679525,139.767663
SevenEleven,35.678039,139.768634
SevenEleven,35.680465,139.770986
Lawson,35.681527,139.774122