,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2007年1月,1819820,188050,325220,475790,184320,280110,563800,210730,478420,479810,235330,1077960,2693010,767250,532410,168840,366160,152280,241490,863990,229580,1022150,734060,421110,173490,568880,1097570,648060,54420,222950,147360,115650,277100,345820,210490,72620,142440,173870,121230,652550,172300,292060,369910,346360,194790,355790,868840
2007年2月,2034500,197950,321100,504380,196250,299000,571330,216860,468000,467590,246900,1127670,2909700,778560,560700,195060,412520,168740,263030,824280,274330,1075900,779280,385840,173880,579310,1187920,656230,57580,226190,161540,115770,273920,355580,220770,79770,156200,182220,136220,693430,166180,335280,391930,351140,235020,387330,943970
2007年3月,1940730,202430,335100,558360,208370,295580,602850,298980,563500,529300,294690,1435120,3305360,973980,534630,197480,431540,176590,345140,774580,288640,1270270,914040,513810,240590,795990,1472510,801490,105470,303410,168330,146770,353570,442040,282080,112250,205980,237350,185630,790080,189340,434920,462280,433670,243260,461550,1137540
2007年4月,1324360,213150,309540,530340,228800,238710,536320,237170,502430,451200,267110,1201030,3212150,851120,406350,186730,285050,131470,337970,676920,276780,1031780,884640,452840,280160,861740,1374360,695490,115700,241680,143010,135210,300550,444260,238140,107500,176100,211850,145030,662430,165780,341690,425810,385440,199710,380410,923820
2007年5月,1969930,274070,346490,585020,296650,278690,562860,239640,582640,488650,266860,1202800,3140590,884410,488920,224830,347820,140920,343980,803720,301040,1060990,890730,509400,271070,969290,1298370,714930,138730,260740,152600,155690,316790,475810,274150,108380,172480,217030,173920,720730,182660,410030,474640,404190,220680,432440,859740
2007年6月,2257090,267970,334230,601360,300400,309880,596060,226280,556330,458580,241560,1077270,2962650,816140,477450,201410,337280,134090,315250,719120,265830,937230,817140,428380,223130,767970,1181140,631640,87470,218810,131940,137760,266090,411790,227460,94410,146920,190830,132670,645630,152180,286410,385200,331080,191820,354250,829210
2007年7月,2540410,293020,341190,624890,272830,302670,625340,260810,576250,529990,257230,1206010,3026850,837220,520800,202320,318060,163880,354720,908830,281500,1078640,868080,427550,216110,655900,1289730,691690,68320,291010,145900,143270,290500,412470,237150,104130,156380,184320,134850,705840,192430,332180,394020,348350,185890,355390,1007420
2007年8月,2949830,389110,501300,825880,372480,412740,882080,383550,797170,801960,308090,1656040,3235040,1102450,747990,277660,461780,245820,506800,1569820,386830,1692130,1018330,605450,329440,883970,1637630,986770,112940,490860,227450,195520,406790,571640,330290,145930,252510,249350,222080,816250,259130,492530,574710,516990,280380,486590,1335710
2007年9月,2503190,331740,354360,645490,317930,302130,594420,240420,580810,561770,256430,1172240,2958360,876490,465690,232990,364890,140090,362710,890330,310130,1005860,856010,408950,227640,740380,1317860,703930,75490,270180,158730,143410,317980,456470,250160,104420,168360,198830,153530,653020,164200,336340,427460,357780,195880,392810,1102380
2007年10月,2234690,351270,427120,696180,389340,355570,717480,257060,677540,564830,268750,1212800,3283250,880340,547480,271230,433670,154140,372720,968110,359020,1018800,908640,453140,240060,926630,1355010,721860,120460,248260,169460,173210,318000,509380,287860,113880,188460,204310,152650,702050,190860,425550,496510,416490,228050,398100,1040130
2007年11月,1629950,244670,360770,671850,247290,314030,691540,287960,671530,558790,269770,1185580,3268480,915360,525970,228570,471820,182430,380030,817420,348600,1163420,945250,477870,290130,1028410,1419750,777110,132650,283280,191710,191740,330550,519120,313450,110210,209510,222490,164780,740500,217380,436120,527960,480120,249330,440780,951690
2007年12月,1718150,199140,319240,604750,172690,280760,572160,290670,511910,471900,254210,1241090,3187790,899690,493840,183260,395010,167710,304850,752830,252490,1067250,878250,418920,207470,836260,1371040,763280,83180,235020,154310,135950,270330,395340,252310,87980,160650,167880,114700,699320,183380,363450,417370,377860,200540,353890,933200
2008年1月,1883040,178220,297900,465050,176850,263930,582960,224150,424240,458010,221730,1050510,2646790,757820,560350,155550,391060,167330,273700,881610,228630,985320,762060,490320,173520,560140,1177570,631050,61880,238910,141630,138720,271430,350040,213660,82550,155130,170840,123170,624880,164100,299930,382270,374550,190950,368490,884440
2008年2月,2051020,188730,308040,494960,184940,292710,591610,231540,430170,452700,239870,1115380,2927320,795890,595480,182850,419630,182090,261430,847300,254150,1075110,831830,469350,177170,591210,1265930,634340,59470,238000,142130,146150,271680,369330,224700,84360,158870,179030,141930,698880,169020,361950,385750,371290,261460,399250,978580
2008年3月,1942090,207920,322430,571220,205830,301550,629180,304350,512540,508000,272210,1389400,3192700,968770,604390,194010,467340,199070,344160,866590,283020,1300030,928410,639120,245840,816430,1498850,778640,110850,324810,157910,183620,351740,452040,272290,119440,201270,223710,179530,766850,183350,427070,458910,447320,264560,455720,1154790
2008年4月,1394180,228430,267510,495760,215310,245810,556890,230660,451150,449330,261450,1197150,3061720,860010,431300,191630,363330,147420,355640,666050,266330,1004140,875940,484520,269150,825570,1383870,687430,115960,267410,137520,169160,312040,436420,240700,108990,193020,202960,148950,633410,154360,348160,431680,369160,187280,381690,936130
2008年5月,2082320,303620,319100,571400,289470,292500,595290,246040,549730,527370,255540,1254250,3072480,911570,521870,247310,439780,160200,354810,799860,289060,1040940,896000,518070,258520,909720,1343170,737700,127900,280840,153000,198110,342120,485990,265620,112910,194970,228060,181540,740180,181140,432110,492750,391680,217280,441050,874010
2008年6月,2432480,295720,290170,551640,285580,335520,603940,223840,512770,471250,220520,1117680,2765200,811920,491490,200160,396110,155660,303380,663530,255160,899330,805180,423790,205910,730960,1184150,632010,84500,232920,128570,168370,284740,392660,214810,90190,154250,181210,133570,624430,137330,295950,361900,306620,180670,346970,817420
2008年7月,2595630,275310,306150,551400,274720,323600,667720,274960,562100,549190,278210,1304400,3057210,911600,557240,232830,429760,181510,396240,920670,305220,1129640,912810,529500,228580,650300,1367720,718450,79640,319090,137230,188480,285240,431050,239360,112370,194040,196490,151250,739940,157720,333640,413840,346110,219950,401630,1126140
2008年8月,2872780,341100,397510,693690,342550,411180,869450,358020,748890,768570,303020,1614280,3222400,1171280,843320,337600,641130,287080,555280,1467700,400500,1659490,1012550,757550,330390,809910,1569100,1001740,117350,481930,204210,256780,393660,575360,330100,141830,266340,237960,221840,817170,187920,447520,562050,468760,287020,504070,1362810
2008年9月,2426240,277010,323460,546620,281270,297320,582110,234840,531950,501420,235650,1163940,2841760,893630,495480,254720,459760,158080,351940,808830,301700,963430,830690,452410,216100,683320,1269560,678840,80730,253640,137370,183670,289030,451960,240790,97500,174710,189480,161870,662230,146370,315750,418630,360930,190660,387100,1137280
2008年10月,2344310,329380,359400,603130,324390,372160,724760,237280,699360,590960,264180,1208350,3191560,907920,600280,310500,535900,181010,359150,955080,353840,1087760,888680,480280,243890,842540,1372920,706960,117600,265810,157180,206240,332870,500080,283000,102410,200840,210860,168690,745260,180370,401720,470830,415670,239430,443250,1087920
2008年11月,1660390,227000,310610,608820,235740,336060,703060,251360,670330,577610,264100,1200780,3045840,930880,553030,258690,568600,216180,383600,765730,342960,1225790,914530,525010,291090,949380,1434390,781860,133740,307600,179760,209180,345960,507340,295170,101730,217580,221920,184420,795620,208760,407440,490650,418500,236790,474370,914960
2008年12月,1725580,183360,285910,548800,180780,313060,578280,251400,491500,486220,238510,1239520,2933020,877320,487440,192230,438160,185180,291520,729740,247770,1106930,817110,452670,201420,740490,1328090,730740,79480,246670,146720,148050,286310,380270,225560,78170,157410,167000,123550,677200,161010,309110,350730,328020,192030,377420,884790
2009年1月,1897040,196470,303070,465720,171850,301810,555200,203620,422370,438100,210210,1203400,2640750,826270,592490,162660,397670,172160,263250,802950,242340,1041230,726410,413620,159910,542200,1167780,631930,54730,246840,174000,141830,262920,310810,200830,78630,146320,164820,120990,676840,150690,269610,345920,287180,187730,358690,831620
2009年2月,1871680,192340,303900,472350,179160,311660,524820,199450,383340,412320,206040,1139020,2670580,821300,588330,176810,430470,181580,230630,755980,260460,1043150,694840,362370,149330,534630,1118470,610040,49690,241060,180910,131630,242100,317930,197750,73120,148690,155920,126880,684170,153030,281490,339170,285810,229050,347220,865980
2009年3月,1874730,195200,323060,534120,209330,327550,578800,283380,516770,497450,256180,1531790,3195780,1045910,593500,183400,482670,202620,335680,772000,291760,1316050,852300,517880,225200,782350,1475260,791890,99920,363030,213260,182750,339880,418840,266020,113610,205900,220250,177200,787520,183940,384410,426680,375800,235040,429580,1080670
2009年4月,1272220,248700,278380,466540,204270,254810,516530,212230,439430,394260,238290,1205640,2891170,883930,442840,182710,370820,138920,344410,665940,265250,1007220,751180,378850,228330,772920,1325790,638780,109300,251760,163360,168570,300330,408560,226330,98160,162780,190060,139340,622870,145470,295430,356090,305230,169310,338960,939170
2009年5月,1978280,324300,349480,572670,261950,318380,581750,220600,548550,479320,237140,1216610,2875220,927750,592710,240900,462620,160710,348860,860270,304210,1085560,773320,426920,205100,701810,1139300,613140,98240,277470,211720,204820,317060,441030,266810,106070,175850,208730,174060,756100,181100,413210,445860,360130,211020,418830,911150
2009年6月,2151730,310460,327930,531930,270010,351280,572470,197970,501910,416800,201900,1042470,2566040,834150,519440,193860,395720,142450,277940,637370,254120,903860,708080,353910,149110,516700,989430,542230,60860,202840,156850,173720,262930,375080,208490,82310,142090,159820,137180,602130,136180,295340,325100,277300,161250,313530,862170
2009年7月,2481220,335130,349270,542530,262900,337270,595360,255290,593900,512590,248010,1331350,2929740,937840,635090,218910,442300,177940,360420,891540,304710,1110420,782420,475900,197300,647490,1331620,679040,87360,310860,186570,183060,291750,391380,215870,103870,181140,191130,148650,767060,146020,327270,404280,317400,192570,392490,1075080
2009年8月,2853830,431460,499120,723620,336090,435910,781180,343850,774570,714010,285730,1751150,3227990,1208270,908480,298660,625710,278640,521090,1407350,419060,1630560,897500,659610,299400,822730,1613950,956730,128000,487000,273980,230200,377300,538700,288000,138970,252170,249100,216330,898820,180180,483740,583510,452940,257060,485310,1291230
2009年9月,2559420,379980,389580,578570,294940,358520,596090,222650,600470,529040,241640,1279780,2863460,958350,671540,258050,494920,174660,366550,874370,325970,1028620,787570,451700,211110,799550,1327470,685640,95620,284200,204770,191700,315920,445680,223260,104480,187980,222720,169950,794140,158260,350710,469320,351310,191170,382590,1040950
2009年10月,2220130,398490,394680,634840,313140,390700,677070,230480,669560,547570,251490,1298940,2949730,988540,699800,269210,523500,181480,349770,867180,347320,1035680,829490,423370,231110,843150,1378060,702440,118540,237620,207550,209480,328760,456650,246750,105820,196550,224870,146640,754980,168600,395980,451850,352870,214730,387450,949820
2009年11月,1630130,256460,344820,566810,223370,324620,616500,234370,618660,502500,242380,1210270,2809670,990910,567800,224830,534030,208520,340440,678840,332390,1134090,812600,446390,257830,886850,1413040,717860,130190,257980,224920,218900,324390,458460,258940,103480,208930,229460,157500,785200,183040,372300,460220,407310,207530,412210,830740
2009年12月,1774230,201350,294800,515810,169480,285070,527950,243890,492460,448200,233870,1311590,2907060,957660,464950,173640,422390,187350,276430,644260,252700,1057300,780910,387120,187350,686470,1426860,713730,76980,223310,188610,165540,272630,355860,215310,86750,159130,175050,122050,729690,151570,312080,368010,342380,174820,344250,827320
2010年1月,1836130,212550,314040,478530,226170,321650,619550,264970,585680,497160,235240,1348320,3144700,1062670,606910,170040,434570,176630,327110,1061650,306170,1169410,843650,419510,196380,698330,1434480,763920,70290,266470,169740,140650,266690,460300,228330,95100,172940,205860,158030,885980,152850,307940,361700,399660,206000,402050,909430
2010年2月,2036960,225260,316940,495840,224470,340240,608430,262550,546850,526070,240790,1434400,3379660,1122020,636200,182490,473850,187640,337370,994940,338160,1258020,869310,385270,194460,735590,1481270,764130,77030,266150,184440,138990,256010,495890,226430,94480,184770,208870,183650,969690,155420,389960,374660,403260,265750,425620,1041880
2010年3月,1842270,235200,337310,580030,259950,350200,673340,372950,731490,603300,300700,1864010,3894840,1380730,646510,202920,527030,208680,457630,1001020,376370,1531170,1036830,520830,296620,1056390,1880690,955670,152120,378520,199310,183350,369010,659150,307550,144570,249640,280740,247640,1108230,167650,468190,488040,492750,268660,498400,1223350
2010年4月,1178160,237960,314860,503850,207000,269320,564800,271970,573340,453260,264340,1426460,3533450,1064300,477820,199290,419910,140090,410440,734990,352060,1137840,956020,378290,278130,1087950,1621540,759870,167550,241750,152620,174940,294750,574070,241750,116810,195230,229900,187370,841880,162970,390090,390140,384700,173750,379190,986470
2010年5月,1815710,324120,370490,601370,279150,328020,621780,301370,741570,551490,272760,1493320,3471650,1149880,604110,255970,516070,161400,415640,931070,384380,1246380,1007690,436220,301020,1185590,1598490,841850,205080,273140,180450,204910,325850,648900,287010,122650,214300,256550,219170,998170,180740,488700,486560,428100,202370,466320,995530
2010年6月,1988870,318910,334040,583310,272920,371230,604980,279900,686610,478130,242840,1338870,3204090,1000010,541690,190750,446000,144530,349650,741450,322230,1046660,903650,347050,236180,993850,1420760,713100,162120,210200,151770,175220,256960,540030,227840,95500,166250,210940,173890,840900,137950,352930,349880,327490,143440,341820,908360
2010年7月,2400790,341120,358130,629160,295190,382480,649380,314350,717980,534230,288010,1539800,3473040,1102660,610770,227090,467930,191210,490210,1056230,358790,1355560,956940,495010,262710,899270,1658070,787340,162300,323540,181670,179960,292930,590640,263630,126220,209850,225010,196730,1026380,160060,386020,387970,382450,157020,386350,1175650
2010年8月,2678190,418490,496320,801700,360470,472100,877710,424810,969120,762650,328070,1986770,3629830,1362010,881400,323760,655640,305100,716060,1762160,509660,2011090,1139870,735730,371260,1094660,1893330,1076800,224260,529600,270180,243830,410990,740050,358530,174400,295640,275440,264270,1138480,197390,534850,547600,537990,233940,515630,1497870
2010年9月,2321500,337920,350320,638950,275240,356660,591670,263380,696010,535320,267940,1455160,3267310,1105050,549790,264330,477920,168040,438300,990930,366410,1200900,903310,440400,253110,976330,1577080,719750,171880,271230,176580,185720,284060,558660,251960,117540,210300,223730,193850,948720,157030,383670,400100,382000,174670,396790,1151040
2010年10月,2107510,377970,421100,689760,327940,403880,738800,272650,774030,618640,285190,1565510,3719450,1246480,676360,299540,557390,186900,401650,1070770,399870,1181070,982450,507420,274950,1103370,1702670,808700,226570,290120,192410,211870,341190,605490,291670,121820,225400,247760,203890,1024460,174830,493450,502400,422530,220310,412950,1058250
2010年11月,1470000,270190,337800,636860,226020,333550,680550,272520,687360,579270,282760,1419690,3562190,1223870,590040,234900,528370,200610,393720,794830,373360,1264460,927660,505870,290580,1187180,1686920,818110,209250,319690,207450,220810,328540,581060,298870,112730,224230,248120,208830,986390,180760,459050,510310,474410,227540,437930,904400
2010年12月,1607620,240740,310890,600090,177530,328260,590060,280500,544390,516520,273090,1486150,3631420,1158970,520870,186730,440110,185770,322890,784840,279520,1228110,916140,465930,223930,967690,1664450,819440,125200,259560,168380,163360,271380,459060,265630,87240,173170,197100,156680,957960,145580,385630,425790,408410,207870,373040,886610
2011年1月,2148210,326290,426960,614400,209490,382080,771950,336940,625310,725740,279740,1395520,3455180,1277590,911670,197190,490250,267490,399950,1789230,402710,1577300,867970,575400,245570,864080,1590490,878690,76990,287340,207450,167570,300290,516150,265110,130050,220060,262160,186970,962150,197750,423690,525240,489630,214050,472080,970770
2011年2月,2320620,337730,434670,652860,237660,438820,777150,343960,596190,730930,290130,1433540,3688600,1312660,958410,220320,519640,277040,417240,1742940,412520,1610410,912910,521530,242150,896240,1599020,886290,82280,294620,226700,175610,302050,525570,286000,132290,237950,280450,205150,1016590,202000,525950,532310,503930,261890,440690,1109440
2011年3月,1832380,235520,293280,468240,147890,342970,530940,247290,447830,474500,285970,959120,2888450,1028060,687520,208890,513820,276490,329220,997130,392790,1224210,1045270,606100,340080,1154050,1976230,991140,140400,352350,233670,215350,409110,644490,339470,160680,294820,337100,257780,1135460,217410,534240,615830,557590,248060,526730,1161280
2011年4月,1270010,267160,501200,761120,169060,322770,809510,351290,422420,439560,250950,619100,2534050,1000970,569480,214470,442740,214730,336220,889500,351480,1126690,944130,495960,372620,1060590,1567130,856680,169790,274120,237430,197810,365480,592200,285630,159880,272600,299690,215190,964930,226050,499310,536840,465960,210840,476400,883510
2011年5月,1961190,371940,614800,956020,287090,414170,1144790,375260,696270,667920,279090,1004120,2980220,1295160,778020,277290,579890,276720,523870,1354940,448900,1477960,1007480,634430,414320,1297090,1643000,988030,233220,343200,272520,265610,412050,684800,331560,173340,313540,393290,260270,1107140,247790,650070,651910,545510,253220,634730,970800
2011年6月,2249470,388250,556770,886690,299560,444430,1097760,360790,635090,629940,266170,1038870,3162650,1240050,732890,237960,513780,252950,429840,1101500,384630,1275700,949950,481170,316330,1127730,1572020,860190,188860,259990,231160,225660,348490,607250,290010,136990,231940,396910,199590,967550,195650,533300,492970,420250,216250,506500,979090
2011年7月,2870520,478570,637340,913210,413950,531260,1149980,370510,821560,832610,287870,1449740,3493340,1432920,981790,314080,533470,326160,861190,1991650,504920,1758830,1053790,651200,366910,1109050,1949110,1070040,185040,424640,292040,254020,387920,691150,324750,154880,267150,392740,246300,1186160,228520,614860,580810,462400,264890,586180,1340030
2011年8月,3401610,591000,793580,986480,572630,676690,1119190,499430,1219890,1244630,366990,2019030,3926290,1875720,1471440,464950,794240,516890,1553230,3529670,717570,2898470,1316140,1063320,573300,1427960,2402970,1472610,277020,761120,425960,339480,558270,879950,431050,214100,420130,464500,404960,1365810,296420,866170,845400,683130,327580,732070,1674690
2011年9月,2888690,449670,563920,863460,392780,479810,859080,350820,792040,813610,295760,1459760,3708500,1438970,821700,354070,607210,288640,687580,1724990,482880,1593860,1043560,583830,349050,1166270,1917850,936720,148050,310120,282520,240580,420060,687590,361470,156040,255070,367820,241330,1151680,213640,581310,659130,493190,255170,613000,1393270
2011年10月,2558220,430160,547400,921640,463660,531040,869660,390220,937650,830420,322540,1535680,3906770,1471510,921940,386580,702180,302460,563470,1707310,560860,1563220,1112720,663150,379550,1379190,1820100,957440,195690,258380,306770,273080,454110,749710,487840,203880,262310,375950,252710,1160100,222620,643410,663640,555570,293240,646940,1353960
2011年11月,1805360,318600,485150,889680,293900,445360,828960,394280,829340,715240,319110,1478360,3731560,1466880,772340,313660,700960,344350,528760,1234950,507060,1646010,1074840,648550,402450,1618270,1821050,990240,200260,264020,315460,257810,407860,717810,422530,198820,277290,328790,247630,1126540,239180,608070,628780,599710,292080,641770,1156440
2011年12月,1987490,287050,451030,874790,233460,420980,839690,430160,672320,643580,321790,1566830,4052720,1490940,757910,265570,578500,309910,438550,1311520,409310,1660220,1078190,644040,308130,1304590,1905670,1004490,130300,265900,272010,199640,382890,589240,349580,142510,212150,272950,213520,1096140,209590,513000,498950,542730,259860,518720,1151810
2012年1月,2109240,250120,489940,730140,199630,380880,787130,332950,565160,614990,252390,1429240,3603450,1252190,802610,211780,513610,260540,381900,1682880,403060,1472990,959380,560520,249850,931380,1635130,925410,86970,266000,208060,154650,301990,516960,265150,108580,218600,280890,179310,976700,184240,407120,465460,434040,270290,464670,906820
2012年2月,2106690,266950,491170,758250,196370,410040,794250,362250,506740,548920,267330,1388950,3744270,1233040,830390,216940,528400,273490,369430,1495950,422220,1441580,954960,508450,245620,899000,1589570,925230,94550,255990,201940,166370,303780,558430,278480,120170,234970,300820,199920,998760,187370,430100,481230,441890,341070,507790,1162780
